node_id,node_lon,node_lat,n_fixes,node_type,colony_name,radius_km
patch_0,-11.38386652477812,60.46940592034775,690,foraging_patch,,20.0
patch_1,-13.24924704204075,49.42032441290243,520,foraging_patch,,20.0
patch_2,-10.87677468420732,48.154360190371705,1952,foraging_patch,,20.0
patch_3,-12.344322105460725,51.31824836846901,1374,foraging_patch,,20.0
patch_4,-11.572469273085144,50.29316937140084,1903,foraging_patch,,20.0
patch_5,-12.93166178435926,50.80973787900309,539,foraging_patch,,20.0
patch_6,-13.53720138304042,51.38576864749685,702,foraging_patch,,20.0
patch_7,-12.98686013423765,51.19450092046466,781,foraging_patch,,20.0
patch_8,-4.218276091988711,48.82898890449987,661,foraging_patch,,20.0
patch_9,-12.521267827429304,57.46768733180683,734,foraging_patch,,20.0
patch_10,-13.755134275857118,57.54470010537506,713,foraging_patch,,20.0
patch_11,-13.417913287071112,57.66844692815842,604,foraging_patch,,20.0
patch_12,-8.997788867414958,54.71063897508333,713,foraging_patch,,20.0
patch_13,-10.351569858285592,55.82875082873641,1333,foraging_patch,,20.0
patch_14,-6.101226935923751,58.65589707202708,1140,foraging_patch,,20.0
patch_15,-8.230178574672077,57.7200223885268,1578,foraging_patch,,20.0
patch_16,-7.321306362278654,58.04629310702413,685,foraging_patch,,20.0
patch_17,-10.292784529840768,53.45300518037339,1880,foraging_patch,,20.0
patch_18,-10.37723275624122,52.23779976255575,643,foraging_patch,,20.0
patch_19,-4.288899313215714,52.71729748511559,651,foraging_patch,,20.0
patch_20,-9.02290689628116,51.48318276026551,2434,foraging_patch,,20.0
patch_21,-6.743034263380525,57.69317800616706,1005,foraging_patch,,20.0
patch_22,-6.20801139729717,56.99399912357417,910,foraging_patch,,20.0
patch_23,-6.285828826684252,56.987488197827126,728,foraging_patch,,20.0
patch_24,-6.287381329344075,56.99086065516871,1049,foraging_patch,,20.0
patch_25,-5.706934059527761,49.87985882657028,684,foraging_patch,,20.0
patch_26,-5.533764203465447,50.03956597319159,773,foraging_patch,,20.0
patch_27,-5.706925648129888,50.52735275076635,1512,foraging_patch,,20.0
patch_28,-4.748081826127131,50.875611607636245,592,foraging_patch,,20.0
patch_29,-4.76356343021424,51.14968960980202,1788,foraging_patch,,20.0
patch_30,-5.215883295527562,51.10945543747509,558,foraging_patch,,20.0
patch_31,-6.914499135336044,51.16026156355972,729,foraging_patch,,20.0
patch_32,-5.553903551634668,52.776068059197634,952,foraging_patch,,20.0
patch_33,-6.402161720677781,51.18151469392355,654,foraging_patch,,20.0
patch_34,-5.082632180636145,52.44527366097609,2622,foraging_patch,,20.0
patch_35,-7.227523289934667,56.316522540179164,720,foraging_patch,,20.0
patch_36,-6.380067049021687,56.19753006415053,527,foraging_patch,,20.0
patch_37,-6.697032724567608,56.21499675067665,810,foraging_patch,,20.0
patch_38,-6.61129483226385,55.72136826382089,806,foraging_patch,,20.0
patch_39,-7.042129685259354,55.49258338168202,2073,foraging_patch,,20.0
patch_40,-7.145860693963827,55.92590246925757,1778,foraging_patch,,20.0
patch_41,-7.866167220667476,56.19525768949352,859,foraging_patch,,20.0
patch_42,-7.669872478173401,55.83442876856021,1507,foraging_patch,,20.0
patch_43,-5.064382054559305,53.97478565542965,549,foraging_patch,,20.0
patch_44,-5.931339699357813,51.18768141792767,1498,foraging_patch,,20.0
patch_45,-5.434542960996906,53.60858470896147,566,foraging_patch,,20.0
patch_46,-6.141054030041488,52.35344330669088,1075,foraging_patch,,20.0
patch_47,-5.152503074249881,55.7713928401536,1503,foraging_patch,,20.0
patch_48,-6.103026762526473,51.70872976410227,539,foraging_patch,,20.0
patch_49,-5.402869064740813,55.52663677106949,541,foraging_patch,,20.0
patch_50,-6.669057380603197,51.53956209368874,818,foraging_patch,,20.0
patch_51,-7.447632028417172,51.98316519803534,1208,foraging_patch,,20.0
patch_52,-4.818871478332859,55.54815948001811,2226,foraging_patch,,20.0
patch_53,-5.675791475485958,51.71656733919719,1017,foraging_patch,,20.0
patch_54,-5.347924247703592,51.75938917664686,5634,foraging_patch,,20.0
patch_55,-7.122545277581422,52.02722198753254,651,foraging_patch,,20.0
patch_56,-6.327205945739672,52.05777107890353,840,foraging_patch,,20.0
patch_57,-6.807701638614918,52.02053895844546,993,foraging_patch,,20.0
patch_58,-5.90240103766856,53.69927721049689,744,foraging_patch,,20.0
patch_59,-6.3995420109713805,51.7343061995018,749,foraging_patch,,20.0
patch_60,-6.689670594108013,51.901967791737135,1621,foraging_patch,,20.0
patch_61,-5.857248907836352,53.947944351694126,2584,foraging_patch,,20.0
patch_62,-5.436171017607825,54.24050994801235,1134,foraging_patch,,20.0
patch_63,-5.691138546133014,55.1327609206945,966,foraging_patch,,20.0
patch_64,-4.924415374698528,54.315008858546896,1142,foraging_patch,,20.0
patch_65,-5.298121037779558,54.99184939969101,1131,foraging_patch,,20.0
patch_66,-5.176755747674552,55.10456506100188,501,foraging_patch,,20.0
patch_67,-5.38685325873895,54.42389440734373,680,foraging_patch,,20.0
patch_68,-4.975018008805687,54.55302240727581,852,foraging_patch,,20.0
patch_69,-5.048276323483561,54.6611254576311,894,foraging_patch,,20.0
patch_70,-5.231746140044623,54.657781688553065,501,foraging_patch,,20.0
patch_71,-5.467316354375707,54.67346713412313,1365,foraging_patch,,20.0
patch_72,-5.507283199410204,54.73686610761828,767,foraging_patch,,20.0
patch_73,-5.636209007847455,54.76333617440697,686,foraging_patch,,20.0
patch_74,-5.588150125470783,54.723069898869134,1384,foraging_patch,,20.0
colony_cp,-5.525785,54.695025,0,colony,cp,5.0
